LocationID,Borough,Zone,service_zone,community_district
1,EWR,Newark Airport,EWR,0.0
2,Queens,Jamaica Bay,Boro Zone,484.0
3,Bronx,Allerton/Pelham Gardens,Boro Zone,211.0
4,Manhattan,Alphabet City,Yellow Zone,103.0
5,Staten Island,Arden Heights,Boro Zone,503.0
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,502.0
7,Queens,Astoria,Boro Zone,401.0
8,Queens,Astoria Park,Boro Zone,401.0
9,Queens,Auburndale,Boro Zone,411.0
10,Queens,Baisley Park,Boro Zone,412.0
11,Brooklyn,Bath Beach,Boro Zone,311.0
12,Manhattan,Battery Park,Yellow Zone,101.0
13,Manhattan,Battery Park City,Yellow Zone,101.0
14,Brooklyn,Bay Ridge,Boro Zone,310.0
15,Queens,Bay Terrace/Fort Totten,Boro Zone,407.0
16,Queens,Bayside,Boro Zone,411.0
17,Brooklyn,Bedford,Boro Zone,303.0
18,Bronx,Bedford Park,Boro Zone,207.0
19,Queens,Bellerose,Boro Zone,413.0
20,Bronx,Belmont,Boro Zone,206.0
21,Brooklyn,Bensonhurst East,Boro Zone,311.0
22,Brooklyn,Bensonhurst West,Boro Zone,311.0
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,502.0
24,Manhattan,Bloomingdale,Yellow Zone,107.0
25,Brooklyn,Boerum Hill,Boro Zone,302.0
26,Brooklyn,Borough Park,Boro Zone,312.0
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,484.0
28,Queens,Briarwood/Jamaica Hills,Boro Zone,408.0
29,Brooklyn,Brighton Beach,Boro Zone,313.0
30,Queens,Broad Channel,Boro Zone,414.0
31,Bronx,Bronx Park,Boro Zone,227.0
32,Bronx,Bronxdale,Boro Zone,211.0
33,Brooklyn,Brooklyn Heights,Boro Zone,302.0
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,302.0
35,Brooklyn,Brownsville,Boro Zone,316.0
36,Brooklyn,Bushwick North,Boro Zone,304.0
37,Brooklyn,Bushwick South,Boro Zone,304.0
38,Queens,Cambria Heights,Boro Zone,413.0
39,Brooklyn,Canarsie,Boro Zone,318.0
40,Brooklyn,Carroll Gardens,Boro Zone,306.0
41,Manhattan,Central Harlem,Boro Zone,101.0
42,Manhattan,Central Harlem North,Boro Zone,110.0
43,Manhattan,Central Park,Yellow Zone,164.0
44,Staten Island,Charleston/Tottenville,Boro Zone,503.0
45,Manhattan,Chinatown,Yellow Zone,103.0
46,Bronx,City Island,Boro Zone,210.0
47,Bronx,Claremont/Bathgate,Boro Zone,203.0
48,Manhattan,Clinton East,Yellow Zone,104.0
49,Brooklyn,Clinton Hill,Boro Zone,302.0
50,Manhattan,Clinton West,Yellow Zone,104.0
51,Bronx,Co-Op City,Boro Zone,210.0
52,Brooklyn,Cobble Hill,Boro Zone,306.0
53,Queens,College Point,Boro Zone,407.0
54,Brooklyn,Columbia Street,Boro Zone,306.0
55,Brooklyn,Coney Island,Boro Zone,313.0
56,Queens,Corona,Boro Zone,404.0
56,Queens,Corona,Boro Zone,404.0
57,Queens,Corona,Boro Zone,
58,Bronx,Country Club,Boro Zone,210.0
59,Bronx,Crotona Park,Boro Zone,203.0
60,Bronx,Crotona Park East,Boro Zone,203.0
61,Brooklyn,Crown Heights North,Boro Zone,308.0
62,Brooklyn,Crown Heights South,Boro Zone,309.0
63,Brooklyn,Cypress Hills,Boro Zone,305.0
64,Queens,Douglaston,Boro Zone,411.0
65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,302.0
66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,302.0
67,Brooklyn,Dyker Heights,Boro Zone,310.0
68,Manhattan,East Chelsea,Yellow Zone,104.0
69,Bronx,East Concourse/Concourse Village,Boro Zone,204.0
70,Queens,East Elmhurst,Boro Zone,403.0
71,Brooklyn,East Flatbush/Farragut,Boro Zone,317.0
72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,317.0
73,Queens,East Flushing,Boro Zone,407.0
74,Manhattan,East Harlem North,Boro Zone,111.0
75,Manhattan,East Harlem South,Boro Zone,111.0
76,Brooklyn,East New York,Boro Zone,305.0
77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,305.0
78,Bronx,East Tremont,Boro Zone,206.0
79,Manhattan,East Village,Yellow Zone,103.0
80,Brooklyn,East Williamsburg,Boro Zone,301.0
81,Bronx,Eastchester,Boro Zone,212.0
82,Queens,Elmhurst,Boro Zone,404.0
83,Queens,Elmhurst/Maspeth,Boro Zone,402.0
84,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,503.0
85,Brooklyn,Erasmus,Boro Zone,317.0
86,Queens,Far Rockaway,Boro Zone,414.0
87,Manhattan,Financial District North,Yellow Zone,101.0
88,Manhattan,Financial District South,Yellow Zone,101.0
89,Brooklyn,Flatbush/Ditmas Park,Boro Zone,314.0
90,Manhattan,Flatiron,Yellow Zone,104.0
91,Brooklyn,Flatlands,Boro Zone,318.0
92,Queens,Flushing,Boro Zone,407.0
93,Queens,Flushing Meadows-Corona Park,Boro Zone,481.0
94,Bronx,Fordham South,Boro Zone,205.0
95,Queens,Forest Hills,Boro Zone,406.0
96,Queens,Forest Park/Highland Park,Boro Zone,405.0
97,Brooklyn,Fort Greene,Boro Zone,302.0
98,Queens,Fresh Meadows,Boro Zone,408.0
99,Staten Island,Freshkills Park,Boro Zone,502.0
100,Manhattan,Garment District,Yellow Zone,105.0
101,Queens,Glen Oaks,Boro Zone,413.0
102,Queens,Glendale,Boro Zone,405.0
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,101.0
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,101.0
104,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,
105,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,
106,Brooklyn,Gowanus,Boro Zone,306.0
107,Manhattan,Gramercy,Yellow Zone,106.0
108,Brooklyn,Gravesend,Boro Zone,313.0
109,Staten Island,Great Kills,Boro Zone,503.0
110,Staten Island,Great Kills Park,Boro Zone,595.0
111,Brooklyn,Green-Wood Cemetery,Boro Zone,307.0
112,Brooklyn,Greenpoint,Boro Zone,301.0
113,Manhattan,Greenwich Village North,Yellow Zone,102.0
114,Manhattan,Greenwich Village South,Yellow Zone,102.0
115,Staten Island,Grymes Hill/Clifton,Boro Zone,501.0
116,Manhattan,Hamilton Heights,Boro Zone,109.0
117,Queens,Hammels/Arverne,Boro Zone,414.0
118,Staten Island,Heartland Village/Todt Hill,Boro Zone,502.0
119,Bronx,Highbridge,Boro Zone,204.0
120,Manhattan,Highbridge Park,Boro Zone,112.0
121,Queens,Hillcrest/Pomonok,Boro Zone,408.0
122,Queens,Hollis,Boro Zone,412.0
123,Brooklyn,Homecrest,Boro Zone,315.0
124,Queens,Howard Beach,Boro Zone,410.0
125,Manhattan,Hudson Sq,Yellow Zone,102.0
126,Bronx,Hunts Point,Boro Zone,202.0
127,Manhattan,Inwood,Boro Zone,112.0
128,Manhattan,Inwood Hill Park,Boro Zone,112.0
129,Queens,Jackson Heights,Boro Zone,403.0
130,Queens,Jamaica,Boro Zone,412.0
131,Queens,Jamaica Estates,Boro Zone,408.0
132,Queens,JFK Airport,Airports,483.0
133,Brooklyn,Kensington,Boro Zone,312.0
134,Queens,Kew Gardens,Boro Zone,409.0
135,Queens,Kew Gardens Hills,Boro Zone,408.0
136,Bronx,Kingsbridge Heights,Boro Zone,207.0
137,Manhattan,Kips Bay,Yellow Zone,106.0
138,Queens,LaGuardia Airport,Airports,480.0
139,Queens,Laurelton,Boro Zone,413.0
140,Manhattan,Lenox Hill East,Yellow Zone,108.0
141,Manhattan,Lenox Hill West,Yellow Zone,108.0
142,Manhattan,Lincoln Square East,Yellow Zone,107.0
143,Manhattan,Lincoln Square West,Yellow Zone,107.0
144,Manhattan,Little Italy/NoLiTa,Yellow Zone,102.0
145,Queens,Long Island City/Hunters Point,Boro Zone,402.0
146,Queens,Long Island City/Queens Plaza,Boro Zone,401.0
147,Bronx,Longwood,Boro Zone,202.0
148,Manhattan,Lower East Side,Yellow Zone,103.0
149,Brooklyn,Madison,Boro Zone,315.0
150,Brooklyn,Manhattan Beach,Boro Zone,315.0
151,Manhattan,Manhattan Valley,Yellow Zone,107.0
152,Manhattan,Manhattanville,Boro Zone,109.0
153,Manhattan,Marble Hill,Boro Zone,208.0
154,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone,356.0
155,Brooklyn,Marine Park/Mill Basin,Boro Zone,318.0
156,Staten Island,Mariners Harbor,Boro Zone,501.0
157,Queens,Maspeth,Boro Zone,405.0
158,Manhattan,Meatpacking/West Village West,Yellow Zone,102.0
159,Bronx,Melrose South,Boro Zone,201.0
160,Queens,Middle Village,Boro Zone,405.0
161,Manhattan,Midtown Center,Yellow Zone,105.0
162,Manhattan,Midtown East,Yellow Zone,105.0
163,Manhattan,Midtown North,Yellow Zone,105.0
